"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"51659","51093","49746","48047","46161","45525","43532","41949","40187","37668","35621","33960",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"34913","34500","33898","32497","31390","30941","30172","29588","28725","26962","26678","25296",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2356","2346","2254","2155","2289","2451","2477","2610","2523","2322","2088","2031",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"39936","39484","37946","35646","34979","35547","35134","34048","32960","31274","30509","28974",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"17979","17591","16915","16306","15898","15798","15812","15343","14801","14253","13283","12929",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12274","11981","10851","10306","9887","9699","9532","9255","8883","8373","7785","7374",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"34139","34067","32943","31935","31591","31224","30087","29289","28045","26284","25341","23808",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2691","2541","2445","2330","2219","2316","2026","2057","1962","1837","1816","1614",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"18337","18340","17378","16598","16163","16161","15624","15414","14799","13557","13531","12714",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3310","3251","3157","2991","2883","2952","2887","2778","2752","2616","2496","2331",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"26044","25430","24061","22801","22745","23197","22554","22475","21886","20516","20126","19537",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"113169","110268","107412","101142","96806","97675","98630","99733","97786","92959","86812","83329",,
