"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"18711","18839","19045","18439","18645","18655","18898","19845","19887","19738","18939","18634",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4195","4040","3992","3987","3858","3943","3947","3905","3957","4024","3757","3759",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"20674","20760","20179","20313","20139","20109","20052","20212","20306","20023","19261","18989",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"19292","19040","18487","18048","18242","17948","17627","17839","17622","17462","17186","16113",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"36844","35833","34524","33629","33665","33423","33800","34859","35147","35501","35878","35226",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"23504","23312","22972","22390","22235","21858","21913","21759","21549","21317","20589","20287",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12718","12511","11797","11395","11411","10960","11283","11419","11662","11726","11813","11976",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"24614","24536","23813","23562","23250","23045","23193","23218","23334","23381","23047","23233",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3757","3883","3764","3622","3744","3752","3890","3914","3917","3860","3626","3633",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8653","8868","8827","8666","8592","8510","8631","8679","8665","8681","8433","8263",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11934","11542","10836","10631","10242","10040","10010","10341","10458","10783","10687","10570",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4015","3831","3893","3634","3734","3681","3646","3685","3740","3569","3660","3446",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29894","29272","28707","27455","27255","26832","26158","26349","26454","26141","25692","24891",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8160","8103","8022","7584","7744","7531","7552","7537","7613","7353","7213","7064",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"67509","66359","66055","64552","64659","63656","62563","63809","63140","62540","60250","57989",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"35880","35871","34556","33783","33566","33606","33757","35160","35419","36004","35744","35424",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3084","3157","3142","3298","3361","3528","3757","3947","4013","4063","3801","3742",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"44006","43733","42668","41075","41070","41274","41331","42205","42634","42860","42299","42183",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15967","16175","16300","15985","15859","15928","16020","16507","16521","16292","15790","15846",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14325","14279","13823","13375","13239","12998","12989","13171","13285","13393","12541","12040",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"42639","42352","41844","41071","41470","41116","40950","41829","41609","41578","40941","39877",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3304","3235","3024","2976","3020","2888","3014","3007","2959","3085","2971","2949",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"17417","17667","17056","16395","16408","16141","16443","17118","17537","17691","17664","17601",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4096","3988","3906","4037","4026","4108","4185","4162","4180","4167","4024","4017",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"24498","24131","23260","22880","23105","23204","23454","24141","24758","24669","25247","25048",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"110941","110890","110413","106148","105004","106377","108885","113074","115576","114615","110942","110493",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"19574","19633","18804","18217","17859","17803","17215","17219","17412","17017","16435","15956",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1864","1809","1735","1725","1705","1726","1676","1735","1711","1634","1648","1554",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"30070","29583","29155","28907","29022","29001","28936","29241","29284","28881","28424","27799",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"25557","26345","26197","25592","25865","25878","25383","26129","26042","26468","25144","24424",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6533","6371","6092","5826","6002","6029","5996","5989","6036","5910","5781","5800",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"22573","22485","22447","21565","21696","21331","20924","21073","21139","21083","20362","19811",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2410","2521","2537","2425","2411","2486","2513","2525","2459","2362","2285","2122",,
"         30-34 (People)","550354","581454","605273","624516","658496","696354","721395","760695","803547","842395","886063","884862","895271","901151","906498","904666","897913","886798","889365","892400","929278","942697","951219","975546","965663","950691","950258","961931","956716","955246","962170","986682","1013416","1036927","1081058","1094693","1111042","1091917","1090697","1089281","1067798"
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11356","11422","11571","11578","11949","12211","12325","13176","13287","13440","13425","13422",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2089","2189","2268","2454","2460","2572","2712","2844","2893","2965","2735","2767",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"21037","20662","19761","19391","19431","20131","20081","21271","20971","21410","20796","20787",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6369","6570","6582","6778","7105","7386","7324","7882","8040","7972","8066","7973",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"135432","132672","129165","128958","132435","137182","139207","145837","145306","146995","142411","139685",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"16748","16939","17035","17100","17797","18179","18660","19160","19854","20399","19759","19679",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11694","11444","11189","11405","11552","11506","11687","11985","12120","12424","12305","12064",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2778","2647","2674","2742","2794","2953","2993","3089","3203","3193","3153","3200",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2067","2222","2240","2469","2622","2623","2886","2934","2947","3087","3030","3029",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"51195","50016","48621","49475","51059","52353","55088","57649","60381","62411","62558","63480",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"31230","30369","29933","29835","30505","30435","31076","32290","32809","33386","33342","33056",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4365","4533","4408","4586","4685","4980","4917","5080","5033","5037","4832","4714",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4753","4957","4974","5044","5099","5312","5206","5468","5596","5699","5435","5338",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"43847","44165","44226","44391","44911","45155","45809","47195","47451","47420","45863","44859",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"17912","17833","17941","18277","18765","19121","19221","20225","20420","20733","20842","20660",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8771","8846","9089","9279","9714","9885","10426","10886","10861","11092","10953","10787",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8605","8687","8815","8908","9057","9499","9646","10301","10256","10489","10015","10012",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10670","10788","11009","11061","11434","11785","12077","12432","12329","12797","12620","12617",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10847","10891","11341","11545","12083","12846","13437","14318","14654","14788","14538","14201",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3114","3091","3134","3080","3170","3354","3414","3459","3554","3630","3692","3771",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"19735","19616","19404","19905","20463","21198","21454","22804","22814","22939","22820","23066",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"23341","23170","23155","23173","24019","24022","24855","25260","25467","25748","25898","25601",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"28788","27856","27557","27463","28133","28511","29249","30143","30439","31376","30818","31433",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"18682","18827","18946","19350","20350","21207","22003","22933","23455","23610","23617","23306",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6779","6758","6737","6525","6857","7011","7287","7483","7504","7663","7580","7561",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15964","16066","16355","16775","17521","17909","18450","19125","19346","19549","19260","19395",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2555","2606","2618","2778","2853","2940","2993","3237","3375","3250","3254","3237",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5982","6104","6349","6167","6595","6941","7030","7735","7591","7838","7575","7662",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8744","8302","8267","8125","8357","8445","8776","9175","9215","9368","9258","9296",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3862","3818","3713","3718","3778","3683","3817","3902","4028","4176","4094","4160",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"34076","33278","33246","32983","33305","33144","33638","34565","34600","34832","34451","34729",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5168","5155","4933","5100","5215","5368","5251","5544","5638","5632","5406","5381",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"66378","65736","67029","67621","68134","69613","69828","72007","72125","72304","71422","71637",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"28216","28521","27855","27488","28305","28940","29501","30516","31214","31992","31699","32586",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1847","1867","1990","2119","2248","2583","2729","3050","3023","3163","3110","3076",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"32029","31763","31780","32191","32895","33709","34801","36060","36730","37147","37329","37471",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8876","8959","9255","9830","9771","10528","11319","11565","11923","12193","11770","11760",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11385","11457","11544","11475","11875","12156","12644","13004","13104","13258","12895","12740",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"36734","36259","36888","37330","38171","39042","39992","41229","41608","42322","41942","42324",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2964","3092","2950","3063","3063","3129","3195","3275","3458","3325","3311","3336",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12026","11915","11874","12053","12390","12789","13296","13788","14168","14411","14465","14637",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2490","2551","2598","2645","2741","2910","3027","3251","3329","3315","3402","3435",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"16016","16067","15858","16042","16778","17405","18059","18911","19044","19639","19747","19967",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"81335","81878","82515","82454","84319","87971","90625","97346","100361","101319","98384","98862",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11803","12432","12949","12974","13331","13406","13727","13712","13699","13769","13096","12635",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1562","1599","1583","1743","1662","1684","1717","1833","1794","1771","1792","1753",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"26186","26010","26407","26894","27694","28766","29369","30465","30749","30993","30202","30639",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"20925","21451","21957","22491","23162","24352","24857","25945","26809","28060","26990","27003",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3987","3807","3861","3828","4024","4150","4215","4040","4047","4069","3988","3927",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"17280","17454","17577","18032","18465","18757","19311","19901","20203","20730","20217","20273",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1337","1399","1520","1479","1581","1679","1720","1773","1868","1914","1755","1708",,
"         35-39 (People)","140793","146056","167920","180353","195755","214336","230335","247984","269518","293878","317583","330993","344644","357053","371608","383745","399510","409710","424890","434294","452057","451723","453927","467642","475606","483156","498616","499914","488875","474103","464870","463849","472318","483873","508748","527996","547488","554796","566786","572598","562833"
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4998","4906","4598","4590","4600","4574","4631","4980","5272","5505","5647","5673",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1054","1084","1123","1013","1121","1113","1172","1115","1230","1299","1303","1304",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9968","10016","9414","9119","9150","9289","9433","10089","10101","10192","10257","10544",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2753","2658","2529","2602","2595","2776","2818","2951","3175","3258","3149","3382",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"78489","76983","74507","73013","73024","75457","76715","81301","81938","84720","85564","86467",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9238","8953","8888","8673","8510","8809","9105","9332","9977","10353","10455","10476",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7585","6987","6548","6338","5938","5948","5940","6204","6326","6660","6771","6903",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1364","1390","1284","1297","1304","1291","1222","1308","1495","1483","1485","1520",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495","1474","1477","1457","1546","1654","1681","1845","1995","2115","2142","2200",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"27767","27111","25875","25411","25843","25767","26750","28390","29812","31412","32420","33888",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15778","15605","15026","14496","14220","14292","14488","15473","15976","16276","16730","16881",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2667","2692","2604","2527","2553","2621","2840","2709","2945","2909","2915","3007",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2084","2056","1977","1939","1915","2000","2112","2261","2375","2333","2472","2541",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"23038","22227","21669","20951","21060","20993","21643","22535","23092","23547","23803","24056",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7588","7630","7218","7263","7282","7218","7665","7867","8127","8638","8577","8753",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3763","3495","3466","3364","3295","3526","3616","3908","4264","4256","4511","4424",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3815","3632","3495","3595","3480","3744","3691","3851","4017","4148","4173","4302",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4658","4573","4400","4366","4393","4375","4616","4859","5095","5312","5334","5515",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4840","4658","4583","4418","4415","4763","5029","5386","5706","5990","6107","6385",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1650","1544","1525","1423","1352","1348","1452","1544","1550","1629","1676","1727",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11430","11196","10752","10627","10632","10806","10716","11724","11895","12653","12829","13021",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14340","14173","13518","13033","12947","13104","13320","13523","13945","14262","14605","14893",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"13845","13101","12142","11902","11687","11666","12064","12446","12885","13535","13734","13827",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8847","8591","8248","8058","8166","8213","8695","9165","9715","10364","10527","10830",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2904","2813","2682","2526","2467","2597","2594","2751","3008","3173","3124","3241",,
